uuid,name,type,permalink,cb_url,rank,created_at,updated_at,org_uuid,org_name,org_cb_url,country_code,state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on,share_price_usd,share_price,share_price_currency_code,valuation_price_usd,valuation_price,valuation_price_currency_code,money_raised_usd,money_raised,money_raised_currency_code
72d30ebd-53ef-2486-6c29-22785c5173ce,,ipo,microsoft-ipo--72d30ebd,https://www.crunchbase.com/ipo/microsoft-ipo--72d30ebd,31712,2008-02-09 05:25:18,2018-02-12 23:11:05,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft,https://www.crunchbase.com/organization/microsoft,USA,WA,Washington,Redmond,nasdaq,MSFT,1986-03-13,,,,,,,,,
3ad2b068-2d97-f646-0b80-1e5f3d7adfc4,,ipo,the-walt-disney-company-ipo--3ad2b068,https://www.crunchbase.com/ipo/the-walt-disney-company-ipo--3ad2b068,44186,2008-02-09 05:40:32,2019-02-25 22:31:49,756936c0-c335-f0ae-0a3d-fe26bdff5695,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,USA,CA,California,Burbank,nyse,DIS,1978-01-13,,,,,,,300000000,300000000,USD
a265c6f6-4b96-4079-096a-967a37f3da2b,,ipo,divx-ipo--a265c6f6,https://www.crunchbase.com/ipo/divx-ipo--a265c6f6,14752,2008-02-25 23:52:11,2018-02-12 23:57:54,73296f0d-85a5-78d5-90b3-86c5f8981ba9,DivX,https://www.crunchbase.com/organization/divx,USA,CA,California,San Diego,nasdaq,DIVX,2006-10-22,16.0,16.0,USD,160000000,160000000,USD,145000000,145000000,USD
ee426509-826e-5dd0-9309-e79c8f384904,,ipo,xo-group-ipo--ee426509,https://www.crunchbase.com/ipo/xo-group-ipo--ee426509,19369,2008-02-29 00:31:34,2018-02-12 23:41:42,ff8439cf-097c-a88a-9bb9-dd83d23aa14b,XO Group,https://www.crunchbase.com/organization/xo-group,USA,NY,New York,New York,nyse,XOXO,1999-12-02,,,,,,,35000000,35000000,USD
